question_id,participant_id,time,correct,type,size,layout,domain_question
26,2,32.357,yes                           ,node-linked                   ,large                         ,hier                          ,gym                           
3,2,11.696,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
33,2,8.936,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
17,2,31.993,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
32,2,42.879,yes                           ,matrix                        ,large                         ,alpha                         ,gym                           
11,2,9.864,yes                           ,matrix                        ,small                         ,inDD                          ,student                       
34,2,43.687,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
4,2,17.736,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
19,2,21.327,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
6,2,21.56,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
5,2,13.688,yes                           ,node-linked                   ,small                         ,parallel                      ,student                       
9,2,9.75,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
16,2,47.929,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
2,2,41.591,yes                           ,node-linked                   ,small                         ,hier                          ,drinking                      
24,2,26.297,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
23,2,17.519,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
35,3,11.511,yes                           ,matrix                        ,large                         ,inDD                          ,drinking                      
33,3,13.568,yes                           ,matrix                        ,large                         ,outDD                         ,student                       
30,3,22.17,yes                           ,node-linked                   ,large                         ,parallel                      ,drinking                      
9,3,7.609,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
15,3,12.177,yes                           ,node-linked                   ,medium                        ,organic                       ,drinking                      
14,3,7.515,yes                           ,node-linked                   ,medium                        ,hier                          ,student                       
20,3,17.487,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
19,3,11.951,yes                           ,matrix                        ,medium                        ,alpha                         ,student                       
7,3,9.12,yes                           ,matrix                        ,small                         ,alpha                         ,drinking                      
23,3,12.056,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
16,3,62.649,no                            ,node-linked                   ,medium                        ,organic                       ,drinking                      
4,3,12.232,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
27,3,20.723,yes                           ,node-linked                   ,large                         ,organic                       ,student                       
24,3,34.08,yes                           ,matrix                        ,medium                        ,inDD                          ,gym                           
3,3,16.032,yes                           ,node-linked                   ,small                         ,organic                       ,gym                           
17,3,11.526,yes                           ,node-linked                   ,medium                        ,parallel                      ,gym                           
10,3,35.12,yes                           ,matrix                        ,small                         ,outDD                         ,gym                           
